State,City,Services available,Links
All India,All over India,All Services,https://www.covidsos.live/app/index.html
All India,All over India,All Services,https://external.sprinklr.com/insights/explorer/dashboard/
All India,All over India,All Services,https://linktr.ee/Okayival
All India,All over India,All Services,https://www.theuncutteam.com/resources
All India,All over India,All Services,https://covid19.nalsar.ac.in/crowdsourced-data/
All India,All over India,All Services,https://www.covidaidindia.in/
All India,All over India,All Services,https://www.covidresourceindia.com/
All India,All over India,All Services,https://live.angelnextdoor.in/resources.php
All India,All over India,All Services,https://coronaclusters.in/
All India,All over India,All Services,https://indiacovidsupport.com/
All India,All over India,All Services,https://linktr.ee/indiatimes
All India,All over India,All Services,https://life.coronasafe.network/
All India,All over India,All Services,https://covid.wechaar.com/
All India,All over India,All Services,https://covidfacts.in/
All India,All over India,All Services,https://blogs.medibuddy.in/state-wise-helpline-information/
All India,All over India,All Services,https://covid19-resources.in/
All India,All over India,All Services,https://covidtools.in/
All India,All over India,All Services,https://www.teamsosindia.in/
All India,All over India,All Services,https://www.unhazzy.com/covid
All India,All over India,All Services,http://covidhelpers.co.in/
All India,All over India,All Services,https://coronaresources.in/
All India,All over India,All Services,https://covidhelper.in/en
All India,All over India,All Services,https://covidhelpgroup.org/
All India,All over India,All Services,https://indiacovidresources.in/
All India,All over India,All Services,https://www.covidindiaresources.com/
All India,All over India,All Services,https://covid19helpindia.in/
All India,All over India,All Services,http://instagram.com/covidaidresources
All India,All over India,All Services,http://instagram.com/covidhelpindia
All India,All over India,All Services,http://instagram.com/hemkunt_foundation
All India,All over India,All Services,http://www.instgram.com/covid_aidresources
All India,All over India,All Services,http://www.instgram.com/covid.aid.resources
All India,All over India,All Services,http://www.instgram.com/covid19help2021
All India,All over India,All Services,http://www.instgram.com/covidsupport2021
All India,All over India,All Services,https://www.instagram.com/covid.fighters.india/
All India,All over India,All Services,https://www.instagram.com/covidaidresources/
All India,All over India,All Services,https://www.instagram.com/weareyuvaa/
All India,All over India,Oxygen,https://verifiedcovidleads.com/
All India,All over India,Plasma,http://plasmadonor.in/
All India,All over India,Plasma,http://www.friends2support.org/index.aspx
All India,All over India,Plasma,https://coronaclusters.in/plasma/
All India,All over India,Plasma,https://needplasma.in/
All India,All over India,Plasma,https://needplasma.org/
All India,All over India,Plasma,https://plasmadonors.thebetterindia.com/
All India,All over India,Plasma,https://plasmaline.in/
All India,All over India,Plasma,http://instagram.com/dhoondh
All India,All over India,Plasma,http://instagram.com/plasma_donor_community
All India,All over India,Plasma,http://instagram.com/plasma_donors_india
All India,All over India,Plasma,http://instagram.com/plasmaoncall
All India,All over India,Plasma,https://www.notion.so/COVID-19-Plasma-therapy-resources-c9e6a39658c44708a9c4a7440f618796
All India,All over India,Remdesivir,https://covidfaridabad.com/remdesivir-2/
All India,All over India,Tocilizumab,https://covidfaridabad.com/tocilizumab-2/
Andhra Pradesh,All over Andhra Pradesh,All Services,https://covidaps.com/
Bihar,All over Bihar,All Services,https://covidbihar.com/
Bihar,All over Bihar,Plasma,biharbloodbank.in
Chattisgarh,All over Chattisgarh,All Services,https://www.instagram.com/stvorg/guide/chhatisgarh-covid-19-resources/17885236634177171/
Chattisgarh,All over Chattisgarh,Beds,https://cg.nic.in/health/covid19/RTPBedAvailable.aspx
Delhi,All over Delhi,All Services,https://linktr.ee/coviddelhires
Delhi,All over Delhi,All Services,https://linktr.ee/CovidResourcesDelhi
Delhi,All over Delhi,All Services,https://twitter.com/kanika_oberoi10
Delhi,All over Delhi,All Services,https://twitter.com/SoniShikhin
Delhi,All over Delhi,All Services,https://twitter.com/youthindia_fdn?lang=en
Delhi,All over Delhi,All Services,https://www.instagram.com/stvorg/guide/delhi-covid-19-resources/18175437682128001/
Delhi,All over Delhi,All Services,https://www.instagram.com/youthdelhi/
Delhi,All over Delhi,All Services,https://coviddelhi.com/
Delhi,All over Delhi,Beds,https://coronabeds.jantasamvad.org/
Delhi,All over Delhi,Plasma,https://covid.army/delhi/plasma
Delhi,All over Delhi,Plasma,https://coviddelhi.com/plasma
Delhi,All over Delhi,Plasma,https://delhifightscorona.in/requestplasma/
Delhi,All over Delhi,Plasma,http://instagram.com/plasmadonors.delhi
Gujarat,All over Gujarat,All Services,http://instagram.com/covidhelp_gujarat
Gujarat,All over Gujarat,All Services,https://www.instagram.com/stvorg/guide/gujarat-covid-19-resources/17887002398146172/
Gujarat,All over Gujarat,All Services,https://www.gujaratcovidsupport.org/
Gujarat,All over Gujarat,Plasma,http://instagram.com/plasmadonors.gujarat
Gujarat,Ahmedabad,All Services,http://instagram.com/ahmedabad_fights_covid19
Gujarat,Ahmedabad,All Services,https://covidamd.com/
Gujarat,Ahmedabad,Beds,https://ahna.org.in/covid19.html
Gujarat,Gandhinagar,All Services,https://covidgandhinagar.com/
Gujarat,Vadodara,All Services,https://covidbaroda.com/
Gujarat,Vadodara,Plasma,http://instagram.com/plasmadonors.vadodara
Haryana,All over Haryana,Beds,https://coronaharyana.in/ 
Haryana,Faridabad,All Services,https://covidfaridabad.com/
Haryana,Gurugram,Beds,https://covidggn.com/
Jhakhand,All over Jharkhand,All Services,http://www.instgram.com/jharkhandcovidhelp
Jhakhand,All over Jharkhand,Beds,http://amritvahini.in/DashBoardNHM.aspx
Jhakhand,Dhanbad,All Services,https://www.notion.so/4edfc5cb843d4e8982cba70ff96e8a11?v=59009273338b4f379b53dae9a4ad1828
Jhakhand,Ranchi,All Services,https://twitter.com/sambhaljaazahra/status/1383487005103849474?s=08
Jhakhand,Ranchi,All Services,https://pratirakshak.co.in/new-report.php
Karnataka,All over Karnataka,Beds,https://bbmpgov.com/chbms/
Karnataka,Bangalore,All Services,http://instagram.com/covidbangalore.support
Karnataka,Bangalore,All Services,https://covidbengaluru.com/
Karnataka,Bangalore,All Services,https://www.instagram.com/stvorg/guide/bangalore-covid-19-resources/18167434549189471/
Madhya Pradesh,All over Madhya Pradesh,All Services,https://www.instagram.com/stvorg/guide/madhya-pradesh-covid-19-guide/17871732065484842/
Madhya Pradesh,All over Madhya Pradesh,All Services,https://covidmp.com/
Madhya Pradesh,Bhopal,All Services,https://www.instagram.com/stvorg/guide/bhopal-covid-19-resources/17881366733249688/
Madhya Pradesh,Bhopal,Beds,https://bhopalcovidbeds.in/
Madhya Pradesh,Bhopal,Plasma,http://instagram.com/bhopalplasmasupport
Maharashtra,Beed,All Services,https://covidbeed.com/
Maharashtra,Mumbai,All Services,http://www.instgram.com/covid19_mumbai_thane_resources
Maharashtra,Mumbai,All Services,https://www.instagram.com/stvorg/guide/mumbai-covid-19-resources/17893685921045044/
Maharashtra,Nagpur,Beds,http://nsscdcl.org/covidbeds/AvailableHospitals.jsp
Maharashtra,Nagpur,Plasma,http://instagram.com/covid_plasma_nagpur
Maharashtra,Nashik,All Services,https://covidnashik.com/
Maharashtra,Pune,All Services,http://www.instgram.com/punefightscovid19
Maharashtra,Pune,All Services,https://covidpune.com/
Maharashtra,Pune,Plasma,http://instagram.com/puneplasmadonors
Maharashtra,Thane,Beds,https://covidthane.org/availabiltyOfHospitalBeds.html
Odisha,All over Odisha,All Services,https://odishacovid.com/
Odisha,All over Odisha,All Services,https://amaodisha.tech/
Odisha,All over Odisha,All Services,https://www.instagram.com/youthodisha/
Punjab,All over Punjab,All Services,https://www.instagram.com/stvorg/guide/punjab-covid-19-resources/17866065263509022/
Punjab,All over Punjab,Plasma,http://instagram.com/plasmadonorschandigarh
Rajasthan,All over Rajasthan,Beds,https://covidinfo.rajasthan.gov.in/COVID19HOSPITALBEDSSTATUSSTATE.aspx
Tamil nadu,All over Tamil Nadu,All Services,https://stopcorona.tn.gov.in/
Tamil Nadu,All over Tamil Nadu,All Services,instagram.com/youthtamilnadu
Tamil Nadu,All over Tamil Nadu,All Services,https://covidtnadu.com/
Telangana,All over Telangana,All Services,https://www.instagram.com/stvorg/guide/hyderabad-covid-19-resources/18150475303152700/
Telangana,All over Telangana,All Services,https://covidtelangana.com/
Telangana,Hyderabad,All Services,https://linktr.ee/hydcovid
Telangana,Hyderabad,Beds,https://covidbeds.info
Uttar Pradesh,All over Uttar Pradesh,Beds,https://beds.dgmhup-covid19.in/EN/covid19bedtrack
Uttar Pradesh,Lucknow,Plasma,http://instagram.com/plasmadonor.lucknow
Uttar Pradesh,Prayagraj,Plasma,http://instagram.com/plasmadonors.Prayagraj
Uttarakhand,All over Uttarakhand,Beds,https://covid19.uk.gov.in/bedssummary.aspx
Uttarakhand,All over Uttarakhand,All Services,https://www.instagram.com/meghna.png/guide/uttarakhand-covid-19-resources/17853861428510301/
West Bengal,All over West Bengal,All Services,https://linktr.ee/b4ls1r210
West Bengal,All over West Bengal,All Services,http://www.facebook.com/groups/529590531376088/
West Bengal,All over West Bengal,All Services,https://covidresourceswestbengal.carrd.co/
West Bengal,All over West Bengal,All Services,https://twitter.com/princys35904152
West Bengal,All over West Bengal,All Services,https://twitter.com/Srijon98744000
West Bengal,All over West Bengal,All Services,https://www.instagram.com/youthbengal/
West Bengal,All over West Bengal,All Services,https://covidwb.com/
West Bengal,All over West Bengal,All Services,https://excise.wb.gov.in/CHMS/Portal_New_Default.aspx
West Bengal,Kolkata,All Services,http://www.instgram.com/kolkatafightscovid19
West Bengal,Kolkata,All Services,https://kolkatacovid.org/
West Bengal,Kolkata,All Services,https://linktr.ee/satwikbasu
